Taxon ID;Gruppe;Trivialname;Taxon;Gemeinde(n);Kanton(e) ;Fundort;Höhe;Koordx;Koordy;Radius;Räumliche Zusammenfassung;Anzahl;n Nachweise ;Jahr;Monat;Tag;Fortpflanzungsnachweis;Herkunft;Beobachter/Sammler;ID Beobachtung;Rote Liste;Priorität CH;UZL;WZL;Massnahmebedarf;Monitoring-Bedarf;NHV;SMARAGD;infoflora: Kantonaler Schutzstatus;infoflora: Rote Liste regional;Habitat;Substrat;swisslichens: Ecotyp;Ordnung;Familie;swissfungi: funktionelle Gruppe;Indigenat CH;Standortfremd;Einführung
infoflora:7400;Gefässpflanzen;Kleiner Odermennig;Agrimonia eupatoria L.;;OW;;;2663500;1201500;707;D;;1;1963;;;;;;;LC;K;L;;;;;;Teilweise geschützt;LC;;;;;Rosaceae;;INN;;
infoflora:8500;¨;Sumpf-Straussgras;Agrostis canina L.;;LU;;;2658500;1202500;707;D;;2;1953;;;;;;;NT;K;;;;;;;;NT;;;;;Poaceae;;INN;;
infoflora:8500;Gefässpflanzen;Sumpf-Straussgras;Agrostis canina L.;;NW;;;2662500;1204500;707;D;;1;1953;;;;;;;NT;K;;;;;;;;NT;;;;;Poaceae;;INN;;
infoflora:22400;Gefässpflanzen;Gewöhnlicher Gekielter Lauch;Allium carinatum L. subsp. carinatum;;NW;;;2663500;1203500;707;D;;1;1902;;;;;;;NT;K;L;;;;;;;NT;;;;;Amaryllidaceae;;INN;;
infoflora:22400;Gefässpflanzen;Gewöhnlicher Gekielter Lauch;Allium carinatum L. subsp. carinatum;;OW;;;2663500;1201500;707;D;;1;2015;;;;;;;NT;K;L;;;;;;;NT;;;;;Amaryllidaceae;;INN;;
infoflora:24900;Gefässpflanzen;Allermannsharnisch;Allium victorialis L.;;NW;;;2663500;1203500;707;D;;4;1939;;;;;;;LC;K;L;;;;;;Vollständig geschützt;LC;;;;;Amaryllidaceae;;INN;;
infoflora:24900;Gefässpflanzen;Allermannsharnisch;Allium victorialis L.;;NW;;;2662500;1203500;707;D;;2;2012;;;;;;;LC;K;L;;;;;;Vollständig geschützt;LC;;;;;Amaryllidaceae;;INN;;
infoflora:24900;Gefässpflanzen;Allermannsharnisch;Allium victorialis L.;;NW;;;2661500;1203500;707;D;;3;2018;;;;;;;LC;K;L;;;;;;Vollständig geschützt;LC;;;;;Amaryllidaceae;;INN;;
infoflora:24900;Gefässpflanzen;Allermannsharnisch;Allium victorialis L.;;NW;;;2662500;1204500;707;D;;3;2019;;;;;;;LC;K;L;;;;;;Vollständig geschützt;LC;;;;;Amaryllidaceae;;INN;;
infoflora:29300;Gefässpflanzen;Felsenmispel;Amelanchier ovalis Medik.;;OW;;;2662500;1202500;707;D;;1;1926;;;;;;;LC;K;L;;;;;;Vollständig geschützt;LC;;;;;Rosaceae;;INN;;
infoflora:29300;Gefässpflanzen;Felsenmispel;Amelanchier ovalis Medik.;;OW;;;2663500;1202500;707;D;;1;1927;;;;;;;LC;K;L;;;;;;Vollständig geschützt;LC;;;;;Rosaceae;;INN;;
infoflora:29300;Gefässpflanzen;Felsenmispel;Amelanchier ovalis Medik.;;OW;;;2660500;1202500;707;D;;2;2015;;;;;;;LC;K;L;;;;;;Vollständig geschützt;LC;;;;;Rosaceae;;INN;;
infoflora:31000;Gefässpflanzen;Rosmarinheide;Andromeda polifolia L.;;OW;;;2657500;1201500;707;D;;1;1942;;;;;;;NT;K;;;;;;;Vollständig geschützt;NT;;;;;Ericaceae;;INN;;
infoflora:31000;Gefässpflanzen;Rosmarinheide;Andromeda polifolia L.;;LU;;;2656500;1202500;707;D;;1;1951;;;;;;;NT;K;;;;;;;;NT;;;;;Ericaceae;;INN;;
infoflora:31000;Gefässpflanzen;Rosmarinheide;Andromeda polifolia L.;;LU;;;2657500;1202500;707;D;;1;1951;;;;;;;NT;K;;;;;;;;NT;;;;;Ericaceae;;INN;;
infoflora:31000;Gefässpflanzen;Rosmarinheide;Andromeda polifolia L.;;NW;;;2662500;1204500;707;D;;1;1951;;;;;;;NT;K;;;;;;;Vollständig geschützt;NT;;;;;Ericaceae;;INN;;
infoflora:31000;Gefässpflanzen;Rosmarinheide;Andromeda polifolia L.;;OW;;;2656500;1201500;707;D;;1;1951;;;;;;;NT;K;;;;;;;Vollständig geschützt;NT;;;;;Ericaceae;;INN;;
infoflora:31800;Gefässpflanzen;Bewimperter Mannsschild;Androsace chamaejasme Wulfen;;NW;;;2662500;1203500;707;D;;3;1886;;;;;;;LC;K;L;;;;451.1/2;;;LC;;;;;Primulaceae;;INN;;
infoflora:31800;Gefässpflanzen;Bewimperter Mannsschild;Androsace chamaejasme Wulfen;;OW;;;2660500;1202500;707;D;;1;1934;;;;;;;LC;K;L;;;;451.1/2;;Vollständig geschützt;LC;;;;;Primulaceae;;INN;;
infoflora:31800;Gefässpflanzen;Bewimperter Mannsschild;Androsace chamaejasme Wulfen;;OW;;;2660500;1203500;707;D;;1;1951;;;;;;;LC;K;L;;;;451.1/2;;Vollständig geschützt;LC;;;;;Primulaceae;;INN;;
infoflora:31800;Gefässpflanzen;Bewimperter Mannsschild;Androsace chamaejasme Wulfen;;OW;;;2661500;1201500;707;D;;1;2002;;;;;;;LC;K;L;;;;451.1/2;;Vollständig geschützt;LC;;;;;Primulaceae;;INN;;
infoflora:31800;Gefässpflanzen;Bewimperter Mannsschild;Androsace chamaejasme Wulfen;;OW;;;2662500;1202500;707;D;;2;2010;;;;;;;LC;K;L;;;;451.1/2;;Vollständig geschützt;LC;;;;;Primulaceae;;INN;;
infoflora:31800;Gefässpflanzen;Bewimperter Mannsschild;Androsace chamaejasme Wulfen;;NW;;;2661500;1203500;707;D;;1;2012;;;;;;;LC;K;L;;;;451.1/2;;;LC;;;;;Primulaceae;;INN;;
infoflora:31800;Gefässpflanzen;Bewimperter Mannsschild;Androsace chamaejasme Wulfen;;OW;;;2661500;1203500;707;D;;2;2012;;;;;;;LC;K;L;;;;451.1/2;;Vollständig geschützt;LC;;;;;Primulaceae;;INN;;
infoflora:31800;Gefässpflanzen;Bewimperter Mannsschild;Androsace chamaejasme Wulfen;;OW;;;2661500;1202500;707;D;;4;2015;;;;;;;LC;K;L;;;;451.1/2;;Vollständig geschützt;LC;;;;;Primulaceae;;INN;;
infoflora:31800;Gefässpflanzen;Bewimperter Mannsschild;Androsace chamaejasme Wulfen;;OW;;;2662500;1203500;707;D;;2;2016;;;;;;;LC;K;L;;;;451.1/2;;Vollständig geschützt;LC;;;;;Primulaceae;;INN;;
infoflora:31800;Gefässpflanzen;Bewimperter Mannsschild;Androsace chamaejasme Wulfen;;OW;;;2659500;1202500;707;D;;1;2020;;;;;;;LC;K;L;;;;451.1/2;;Vollständig geschützt;LC;;;;;Primulaceae;;INN;;
infoflora:32100;Gefässpflanzen;Schweizer Mannsschild;Androsace helvetica (L.) All.;;OW;;;2662500;1203500;707;D;;1;1928;;;;;;;LC;K;;;;;451.1/2;;Vollständig geschützt;LC;;;;;Primulaceae;;INN;;
infoflora:32100;Gefässpflanzen;Schweizer Mannsschild;Androsace helvetica (L.) All.;;NW;;;2661500;1203500;707;D;;1;1951;;;;;;;LC;K;;;;;451.1/2;;;LC;;;;;Primulaceae;;INN;;
infoflora:32100;Gefässpflanzen;Schweizer Mannsschild;Androsace helvetica (L.) All.;;NW;;;2663500;1203500;707;D;;1;1952;;;;;;;LC;K;;;;;451.1/2;;;LC;;;;;Primulaceae;;INN;;
infoflora:32100;Gefässpflanzen;Schweizer Mannsschild;Androsace helvetica (L.) All.;;OW;;;2660500;1202500;707;D;;1;2015;;;;;;;LC;K;;;;;451.1/2;;Vollständig geschützt;LC;;;;;Primulaceae;;INN;;
infoflora:32100;Gefässpflanzen;Schweizer Mannsschild;Androsace helvetica (L.) All.;;OW;;;2661500;1202500;707;D;;2;2016;;;;;;;LC;K;;;;;451.1/2;;Vollständig geschützt;LC;;;;;Primulaceae;;INN;;
infoflora:32100;Gefässpflanzen;Schweizer Mannsschild;Androsace helvetica (L.) All.;;NW;;;2661500;1202500;707;D;;1;2018;;;;;;;LC;K;;;;;451.1/2;;;LC;;;;;Primulaceae;;INN;;
infoflora:33400;Gefässpflanzen;Narzissen-Windröschen;Anemone narcissiflora L.;;OW;;;2663500;1202500;707;D;;1;1960;;;;;;;LC;K;L;;;;;;Vollständig geschützt;LC;;;;;Ranunculaceae;;INN;;
infoflora:33400;Gefässpflanzen;Narzissen-Windröschen;Anemone narcissiflora L.;;NW;;;2663500;1203500;707;D;;2;1978;;;;;;;LC;K;L;;;;;;Vollständig geschützt;LC;;;;;Ranunculaceae;;INN;;
infoflora:33400;Gefässpflanzen;Narzissen-Windröschen;Anemone narcissiflora L.;;OW;;;2661500;1201500;707;D;;2;2002;;;;;;;LC;K;L;;;;;;Vollständig geschützt;LC;;;;;Ranunculaceae;;INN;;
infoflora:33400;Gefässpflanzen;Narzissen-Windröschen;Anemone narcissiflora L.;;OW;;;2662500;1201500;707;D;;1;2002;;;;;;;LC;K;L;;;;;;Vollständig geschützt;LC;;;;;Ranunculaceae;;INN;;
infoflora:33400;Gefässpflanzen;Narzissen-Windröschen;Anemone narcissiflora L.;;OW;;;2662500;1202500;707;D;;2;2002;;;;;;;LC;K;L;;;;;;Vollständig geschützt;LC;;;;;Ranunculaceae;;INN;;
infoflora:33400;Gefässpflanzen;Narzissen-Windröschen;Anemone narcissiflora L.;;NW;;;2662500;1204500;707;D;;1;2012;;;;;;;LC;K;L;;;;;;Vollständig geschützt;LC;;;;;Ranunculaceae;;INN;;
infoflora:33400;Gefässpflanzen;Narzissen-Windröschen;Anemone narcissiflora L.;;OW;;;2660500;1201500;707;D;;3;2015;;;;;;;LC;K;L;;;;;;Vollständig geschützt;LC;;;;;Ranunculaceae;;INN;;
infoflora:33400;Gefässpflanzen;Narzissen-Windröschen;Anemone narcissiflora L.;;OW;;;2660500;1202500;707;D;;1;2015;;;;;;;LC;K;L;;;;;;Vollständig geschützt;LC;;;;;Ranunculaceae;;INN;;
infoflora:33400;Gefässpflanzen;Narzissen-Windröschen;Anemone narcissiflora L.;;OW;;;2659500;1201500;707;D;;1;2020;;;;;;;LC;K;L;;;;;;Vollständig geschützt;LC;;;;;Ranunculaceae;;INN;;
infoflora:34800;Gefässpflanzen;Stinkende Hundskamille;Anthemis cotula L.;;OW;;;2663500;1201500;707;D;;1;1938;;;;;;;EN;3;;;1;0;;;;EN;;;;;Asteraceae;;INN;;
infoflora:35100;Gefässpflanzen;Astlose Graslilie;Anthericum liliago L.;;OW;;;2660500;1201500;707;D;;1;1977;;;;;;;LC;K;L;;;;;;Vollständig geschützt;NT;;;;;Asparagaceae;;INN;;
infoflora:35200;Gefässpflanzen;Ästige Graslilie;Anthericum ramosum L.;;OW;;;2662500;1202500;707;D;;1;1937;;;;;;;LC;K;L;;;;;;Vollständig geschützt;LC;;;;;Asparagaceae;;INN;;
infoflora:35200;Gefässpflanzen;Ästige Graslilie;Anthericum ramosum L.;;NW;;;2661500;1204500;707;D;;1;1943;;;;;;;LC;K;L;;;;;;Vollständig geschützt;LC;;;;;Asparagaceae;;INN;;
infoflora:35200;Gefässpflanzen;Ästige Graslilie;Anthericum ramosum L.;;OW;;;2659500;1201500;707;D;;1;1943;;;;;;;LC;K;L;;;;;;Vollständig geschützt;LC;;;;;Asparagaceae;;INN;;
infoflora:35200;Gefässpflanzen;Ästige Graslilie;Anthericum ramosum L.;;OW;;;2659500;1202500;707;D;;1;1943;;;;;;;LC;K;L;;;;;;Vollständig geschützt;LC;;;;;Asparagaceae;;INN;;
infoflora:35200;Gefässpflanzen;Ästige Graslilie;Anthericum ramosum L.;;OW;;;2660500;1202500;707;D;;1;1943;;;;;;;LC;K;L;;;;;;Vollständig geschützt;LC;;;;;Asparagaceae;;INN;;
infoflora:35200;Gefässpflanzen;Ästige Graslilie;Anthericum ramosum L.;;OW;;;2661500;1202500;707;D;;2;1943;;;;;;;LC;K;L;;;;;;Vollständig geschützt;LC;;;;;Asparagaceae;;INN;;
infoflora:35200;Gefässpflanzen;Ästige Graslilie;Anthericum ramosum L.;;OW;;;2663500;1202500;707;D;;3;2016;;;;;;;LC;K;L;;;;;;Vollständig geschützt;LC;;;;;Asparagaceae;;INN;;
