Taxon ID,Gruppe,Trivialname,Taxon,Gemeinde(n),Kanton(e) ,Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise ,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,Beobachter/Sammler,ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
infoflora:32100,Gefässpflanzen,Schweizer Mannsschild,Androsace helvetica (L.) All.,Alpnach,OW,Pilatus: Oberhaupt,,2660469,1200552,6191,A,,,1880,6,3,,© Naturmuseum Luzern,Müller Edm.,4216491,LC,K,,,,,451.1/2,,Vollständig geschützt,LC,,,,,Primulaceae,,INN,,
infoflora:32100,Gefässpflanzen,Schweizer Mannsschild,Androsace helvetica (L.) All.,Alpnach,OW,Pilatus: Am W. Fuss vom Esel,2030,2662000,1203360,250,A,,,1928,6,12,,© Naturmuseum Luzern,Wallimann Hans,3909421,LC,K,,,,,451.1/2,,Vollständig geschützt,LC,,,,,Primulaceae,,INN,,
infoflora:32100,Gefässpflanzen,Schweizer Mannsschild,Androsace helvetica (L.) All.,Alpnach,OW,Pilatus: Esel NW,2115,2660469,1200552,6191,A,,,1946,7,,,© Naturmuseum Luzern,Aregger Josef,4216476,LC,K,,,,,451.1/2,,Vollständig geschützt,LC,,,,,Primulaceae,,INN,,
infoflora:32100,Gefässpflanzen,Schweizer Mannsschild,Androsace helvetica (L.) All.,Hergiswil (NW),NW,,1216-2125,2661000,1203000,1000,A,,,1951,3,,,© Info Flora (Erste Kartiertung der Flora der Schweiz),Wallimann Hans,3805783,LC,K,,,,,451.1/2,,,LC,,,,,Primulaceae,,INN,,
infoflora:32100,Gefässpflanzen,Schweizer Mannsschild,Androsace helvetica (L.) All.,Hergiswil (NW),NW,Pilatus: zw. Chriesiloch und Klimsenhorn NW,1800,2663616,1203541,4316,A,,,1952,7,24,,© Naturmuseum Luzern,Aregger Josef,4216473,LC,K,,,,,451.1/2,,,LC,,,,,Primulaceae,,INN,,
infoflora:32100,Gefässpflanzen,Schweizer Mannsschild,Androsace helvetica (L.) All.,Alpnach,OW,Fuss des Tomlishorn,2080,2661181,1202840,8,A,,,2012,6,24,,"© Info Flora, Michael Jutzi",Jutzi Michael,3427288,LC,K,,,,,451.1/2,,Vollständig geschützt,LC,,,,,Primulaceae,,INN,,
infoflora:32100,Gefässpflanzen,Schweizer Mannsschild,Androsace helvetica (L.) All.,Alpnach,OW,"Pilatus, Tomlishorn",1997-2008,2660824,1202844,7,A,,,2015,6,28,,"© Info Flora, Philippe Juillerat",Juillerat Philippe,4739844,LC,K,,,,,451.1/2,,Vollständig geschützt,LC,,,,,Primulaceae,,INN,,
infoflora:32100,Gefässpflanzen,Schweizer Mannsschild,Androsace helvetica (L.) All.,Alpnach,OW,"Drei Standorte in unmittelbarer Nähe, verschieden gross",2061-2096,2661179,1202858,10,A,,,2016,6,25,,"© Info Flora, Rosmarie Knuchel",Knuchel Rosmarie,5329506,LC,K,,,,,451.1/2,,Vollständig geschützt,LC,,,,,Primulaceae,,INN,,
infoflora:32100,Gefässpflanzen,Schweizer Mannsschild,Androsace helvetica (L.) All.,Hergiswil (NW),NW,,2029-2061,2661284,1202901,11,A,,,2018,11,12,,"© Info Flora, Elsbeth Honegger",Honegger Elsbeth,7459653,LC,K,,,,,451.1/2,,,LC,,,,,Primulaceae,,INN,,
infoflora:136900,Gefässpflanzen,Stein-Nelke,Dianthus sylvestris Wulfen,Alpnach,OW,Pilatus: Tomlisalp (Tumli),1469-2124,2660675,1202182,750,A,,,1857,8,5,,© Naturmuseum Luzern,Käppeli,5703376,LC,K,L,,,,,,Vollständig geschützt,LC,,,,,Caryophyllaceae,,INN,,
infoflora:136900,Gefässpflanzen,Stein-Nelke,Dianthus sylvestris Wulfen,Alpnach,OW,Pilatus,508-2125,2662195,1203450,2800,A,,,1857,7,,,© Naturmuseum Luzern,Steiger J.,5703372,LC,K,L,,,,,,Vollständig geschützt,LC,,,,,Caryophyllaceae,,INN,,
infoflora:136900,Gefässpflanzen,Stein-Nelke,Dianthus sylvestris Wulfen,Alpnach,OW,Am Pilatus: Im Aufstiege vom Mondmilchloch aufs Widderfeld,639-2125,2659424,1202029,2800,A,,,1862,,,,© Naturmuseum Luzern,Steiger J.,5703722,LC,K,L,,,,,,Vollständig geschützt,LC,,,,,Caryophyllaceae,,INN,,
