,0
0,2663500
1,2660500
2,2661500
3,2660500
4,2660500
5,2660500
6,2660500
7,2660500
8,2661500
9,2660500
10,2660500
11,2663500
12,2662500
13,2661500
14,2662500
15,2663500
16,2662500
17,2661500
18,2663500
19,2660500
20,2663500
21,2663500
22,2660500
23,2658500
24,2658500
25,2660500
26,2661500
27,2661500
28,2662500
29,2663500
30,2660500
31,2661500
32,2662500
33,2660500
34,2661500
35,2662500
36,2660500
37,2662500
38,2661500
39,2663500
40,2660500
41,2661500
42,2660500
43,2661500
44,2661500
45,2663500
46,2660500
47,2662500
48,2660500
49,2661500
50,2661500
51,2661500
52,2661500
53,2663500
54,2662500
55,2660500
56,2661500
57,2660500
58,2661500
59,2661500
60,2660500
61,2661500
62,2660500
63,2661500
64,2662500
65,2660500
66,2663500
67,2661500
68,2663500
69,2660500
70,2660500
71,2660500
72,2663500
73,2660500
74,2659500
75,2661500
76,2663500
77,2663500
78,2663500
79,2658500
80,2660500
81,2661500
82,2660500
83,2661500
84,2661500
85,2661500
86,2661500
87,2660500
88,2661500
89,2663500
90,2663500
91,2663500
92,2661500
93,2660500
94,2663500
95,2661500
96,2660500
97,2660500
98,2663500
99,2663500
100,2660500
101,2663500
102,2661500
103,2660500
104,2660500
105,2660500
106,2660500
107,2661500
108,2661500
109,2661500
110,2660500
111,2660500
112,2661500
113,2663500
114,2660500
115,2661500
116,2660500
117,2660500
118,2660500
119,2661500
120,2663500
121,2661500
122,2660500
123,2662500
124,2661500
125,2663500
126,2661500
127,2661500
128,2660500
129,2661500
130,2661500
131,2660500
132,2658500
133,2660500
134,2661500
135,2660500
136,2663500
137,2660500
138,2661500
139,2660500
140,2661500
141,2661500
142,2662500
143,2660500
144,2661500
145,2663500
146,2661500
147,2660500
148,2661500
149,2663500
150,2658500
151,2658500
152,2660500
153,2658500
154,2658500
155,2660500
156,2660500
157,2660500
158,2660500
159,2660500
160,2660500
161,2661500
162,2662500
163,2660500
164,2661500
165,2663500
166,2660500
167,2663500
168,2663500
169,2660500
170,2663500
171,2661500
172,2663500
173,2663500
174,2663500
175,2660500
176,2660500
177,2663500
178,2660500
179,2660500
180,2660500
181,2663500
182,2663500
183,2661500
184,2660500
185,2661500
186,2663500
187,2661500
188,2661500
189,2660500
190,2663500
191,2663500
192,2660500
193,2660500
194,2661500
195,2660500
196,2662500
197,2660500
198,2661500
199,2663500
200,2663500
201,2661500
202,2661500
203,2660500
204,2661500
205,2660500
206,2660500
207,2660500
208,2663500
209,2663500
210,2663500
211,2661500
212,2661500
213,2661500
214,2660500
215,2661500
216,2663500
217,2661500
218,2660500
219,2661500
220,2661500
221,2660500
222,2661500
223,2660500
224,2661500
225,2660500
226,2660500
227,2660500
228,2663500
229,2663500
230,2661500
231,2662500
232,2663500
233,2663500
234,2661500
235,2660500
236,2661500
237,2661500
238,2661500
239,2660500
240,2660500
241,2660500
242,2658500
243,2663500
244,2663500
245,2658500
246,2658500
247,2661500
248,2663500
249,2660500
250,2663500
251,2660500
252,2661500
253,2660500
254,2660500
255,2660500
256,2660500
257,2661500
258,2660500
259,2660500
260,2661500
261,2661500
262,2661500
263,2663500
264,2663500
265,2663500
266,2663500
267,2660500
268,2660500
269,2660500
270,2661500
271,2661500
272,2663500
273,2660500
274,2660500
275,2662500
276,2663500
277,2663500
278,2660500
279,2661500
280,2661500
281,2661500
282,2661500
283,2661500
284,2663500
285,2660500
286,2660500
287,2661500
288,2660500
